A,B,C,D
1.0,27.0,-33.81999999701977,308.0599999982119
2.0,16.0,-29.000000000447034,197.98999999977647
3.0,4.0,-23.67999999642372,77.98
4.0,18.0,-18.67999999642372,218.21000000417231
5.0,37.0,-13.969999999254942,408.3200000035763
6.0,29.0,-9.000000000447034,328.15000000178816
7.0,20.0,-3.6300000143051143,238.21000000417231
8.0,33.0,1.1800000029802322,368.18000000298025
9.0,27.0,6.050000000298024,308.16999999761583
10.0,26.0,10.989999999776483,297.999999999553
11.0,8.0,16.340000014305115,118.29000000238419
12.0,13.0,21.26999999165535,168.13000000596045
13.0,26.0,26.26999999165535,298.12000000059606
14.0,21.0,31.039999998658896,248.13000000596045
15.0,20.0,36.09999999731779,237.99999999955295
16.0,28.0,40.98,318.3699999856949
17.0,0.0,46.32999999403953,38.32999999403953
18.0,30.0,51.070000003576276,338.23
19.0,25.0,56.01999999910593,288.1300000059605
20.0,15.0,61.36999998569488,188.10999999523162
21.0,36.0,66.36999998569489,398.2399999904633
22.0,2.0,71.21999999463559,58.26000000119209
23.0,38.0,76.16999999761582,418.2199999946356
24.0,22.0,80.98,258.2900000023842
25.0,33.0,86.21000000417233,368.32999999403955
26.0,19.0,91.26999999165535,228.10999999523162
27.0,6.0,96.1899999934435,98.01999999910593
28.0,12.0,101.05000000029803,158.32999999403953
29.0,3.0,106.29000000238419,68.07000000357628
30.0,21.0,110.99999999955297,248.25000001072883
31.0,9.0,116.2600000011921,128.13000000596048
32.0,33.0,121.21000000417233,368.26999999165537
33.0,1.0,126.26999999165535,48.29000000238418
34.0,14.0,131.050000000298,178.13000000596045
35.0,38.0,136.09999999731778,418.28000001192095
36.0,6.0,141.0800000014901,98.29000000238419
37.0,9.0,146.18000000298022,128.08999999940397
38.0,11.0,151.32999999403953,147.99999999955295
39.0,6.0,156.32999999403953,98.13999999642373
40.0,16.0,161.05999999821185,198.1699999976158
41.0,25.0,166.23,288.1999999988079
42.0,34.0,171.36999998569488,377.9899999997765
43.0,19.0,175.99999999955295,228.28000001192092
44.0,36.0,181.18000000298022,398.1999999988079
45.0,11.0,186.03000000074505,148.18999999344348
46.0,16.0,191.310000013113,198.13000000596045
47.0,30.0,196.01999999910592,338.0999999973178
48.0,12.0,201.1399999964237,158.26000000119208
49.0,32.0,206.13000000596045,358.08000000149013
50.0,0.0,211.01999999910592,38.13999999642372
51.0,32.0,215.98999999977647,358.13999999642374
52.0,20.0,221.16000000715255,238.32999999403953
53.0,6.0,226.26999999165534,98.25000001072884
54.0,29.0,231.10999999523162,328.3500000047684
55.0,24.0,236.35999999523162,278.1300000059605
56.0,3.0,240.98,68.19999999880791
57.0,5.0,246.1399999964237,88.16999999761582
58.0,30.0,251.07000000357627,338.31000001311304
59.0,27.0,256.26999999165537,307.98
60.0,9.0,261.1300000059605,128.13999999642374
61.0,18.0,266.15000000178816,218.13000000596045
62.0,12.0,271.3200000035763,158.29000000238418
63.0,17.0,276.32999999403955,208.15000000178813
64.0,9.0,280.999999999553,128.23000000000002
65.0,23.0,286.18000000298025,268.0599999982119
66.0,26.0,291.15000000178816,298.1999999988079
67.0,36.0,296.32999999403955,398.1999999988079
68.0,11.0,301.1899999934435,147.98999999977647
69.0,11.0,305.98,148.21000000417231
70.0,25.0,311.05000000029804,288.3200000035763
71.0,11.0,316.3500000047684,148.21999999463557
72.0,10.0,321.13999999642374,138.21999999463557
73.0,12.0,326.1300000059605,158.050000000298
74.0,23.0,331.18000000298025,268.2199999946356
75.0,12.0,336.16999999761583,158.08999999940394
76.0,37.0,341.13999999642374,408.1300000059605
77.0,36.0,345.98,398.00999999932947
78.0,18.0,351.23,218.03999999865889
79.0,31.0,356.08000000149013,348.13999999642374
80.0,36.0,361.0700000035763,398.0399999986589
81.0,32.0,366.3699999856949,358.13999999642374
82.0,13.0,371.23,168.26000000119208
83.0,23.0,376.13999999642374,268.23
84.0,1.0,381.21000000417234,48.23
85.0,19.0,386.35999999523165,228.35000000476836
86.0,15.0,391.3200000035763,188.25000001072883
87.0,4.0,396.2900000023842,78.18000000298024
88.0,0.0,401.16999999761583,38.13999999642372
89.0,10.0,406.089999999404,138.29000000238418
90.0,11.0,411.25000001072885,148.07000000357627
91.0,19.0,416.0399999986589,228.21000000417231
92.0,36.0,421.25000001072885,398.16999999761583
93.0,1.0,426.1899999934435,48.070000003576276
94.0,25.0,431.28000001192095,288.3699999856949
95.0,22.0,436.2900000023842,258.25000001072885
96.0,16.0,441.2399999904633,198.29999999284743
97.0,11.0,446.34000001430513,148.29000000238418
98.0,32.0,451.10999999523165,358.3699999856949
99.0,16.0,456.31000001311304,198.01999999910592
100.0,23.0,461.1300000059605,268.2399999904633
